# Walks from life - captions and locations
#
# One line per walk. Three things, separated by the | bar:
#
#     file name  |  caption  |  location
#
# The FILE NAME is the walk's picture file, without the -front.webp or
# -back.webp on the end. It must match the file exactly, so leave it alone
# unless you have renamed the picture itself.
#
# The CAPTION is the title you want shown. Change it as often as you like.
# The LOCATION is yours to write: a city and a country, never a street.
#
# Lines starting with # are notes and are ignored. Blank lines are fine.
# Commas are fine too - only the | bar separates the three parts.

Walk_to_mcleodganj                                        | inevitable quiet walk post an argument        | Dharamsala, India
Walk_to_naddi                                             | Offgrid in naddi                              | Dharamsala, India
Walk_to_st_johns                                          | underwhelming visit to st. johns              | Dharamsala, India
Walk_to_Monday_market                                     | Walk to Monday market                         | Delhi, India
Walk_in_da_park                                           | Trying open gym equipement in C9              | Delhi, India
Beautiful_walk_to_work_because_it_was_raining             | Beautiful walk to work because it was raining | Delhi, India
Birdwatching_and_biodiversity_parking                     | Birdwatching and biodiversity parking         | Delhi, India
Walking_with_a_dog                                        | Walking with a dog                            | Greatest Noida, India
Dog_walked_me                                             | Dog walked me                                 | Greatest Noida, India
Dosa_run                                                  | Dosa run                                      | Bengaluru, India
Kempagowda_Security_check-in_and_sprinting_to_see_monisha | Pulling a rom-com sprint at the airport       | Bengaluru, India
Van_vihar_bicycling_and_steling                           | Vän vihar bicycling änd steling               | Bhopal, India
